name,paper_author,team_lead,projects,affiliation_2024,sector_2024,github_handle
Stefan P. Schmid,1,1,45,"ETH Zurich, Vladimir-Prelog-Weg 1, Switzerland.",Academia,stefanpschmid
Dylan Schubert,1,1,13,"Matterhorn Studio, Oxford, United Kingdom.",Industry,
Philippe Schwaller,1,1,41,"ETH Zurich, EPFL, Station 06",Academia,pschwllr
Alexandre Alain Schöpfer,0,0,15,"Laboratory for Computational Molecular Design, EPFL, Switzerland",,aa-schoepfer
Cher-Tian Ser,1,1,38,"Department of Chemistry, University of Toronto, Toronto",Academia,
Yuxin Shen,1,1,16,"University of Edinburgh, CH Waddington Building, King's Buildings",Academia,YuxinShen233
Kevin Shen,1,1,5,"NobleAI, San Francisco, United States.",Industry,
Jiale Shi,1,1,22,"Massachusetts Institute of Technology, Cambridge, United States.",Academia,shijiale0609
Farshud Sorourifar,1,1,21,"The Ohio State University, Columbus, United States.",Academia,
Taylor Sparks,1,0,3,"University of Utah, Salt Lake City, United States.",Academia,sp8rks
Jan Christopher Spies,1,0,17,"University of Muenster, Corrensstraße 40, Germany.",Academia,JanCSpies
Felix Strieth-Kalthoff,1,1,45,"University of Wuppertal, Germany, Gaußstraße 20",Academia,felix-s-k
Suraj Sudhakar,1,0,9,"University of Chicago, Chicago, United States.",Academia,surajsudhakar99
Aditya Sundar,1,1,18,Argonne National Laboratory,Government,
Alessio Tamburro,1,1,11,"Syensqo, Bristol, United States.",Industry,alessiot
Clara Tamura,1,0,16,"University of Washington, Seattle, United States.",Academia,tamuracn
Yifeng (Oliver) Tang,1,0,9,"University of Chicago, Chicago, United States.",Academia,
Oliver Tang,0,0,9,University of Chicago,,oytang
Dandan Tang,1,1,22,"University of Virginia, Charlottesville, United States.",Academia,DandanTang0
Nikhil Thota,1,1,39,"Johns Hopkins University, Baltimore, United States.",Academia,T-NIKHIL
Erfan Toloue,0,0,25,McGill University,,erfantoloue
Gary Tom,1,1,44,"Department of Chemistry, University of Toronto, Toronto",Academia,gkwt
Sang Truong,1,1,33;35;36,"Stanford University, Stanford, CA",Academia,sangttruong
Luis Walter,1,0,17,"Heidelberg University, Philosophenweg 19",Academia,daandtu
Lawrence Wang,1,1,5,"Erthos, Mississauga, ON L4W 4M8",Industry,
Fanjin Wang,1,1,8,"Department of Mechanical Engineering, University College London, London",Academia,FrankWanger
Andrew Wang,1,1,38,"Department of Chemistry, University of Toronto, Toronto",Academia,
Yiran Wang,1,0,39,"Massachusetts Institute of Technology, Cambridge, United States.",Academia,gigiwang08
Jeffrey Watchorn,1,0,,"Acceleration Consortium, University of Toronto, Toronto",,
Jeff Watchorn,0,0,20,Acceleration Consortium,Academia,jwatchorn
